Active (0/1),Name *,Parent category,URL Simplifier,Root category (0/1)
1,Jeux Éducatifs et de société,JEUX & JOUETS,té,0
1,Poupées & Poupons,JEUX & JOUETS,ns,0
1,Loisirs Créatifs,JEUX & JOUETS,fs,0
1,Déguisements et articles de fête,JEUX & JOUETS,te,0
1,Bébé se promène,BÉBÉ,ne,0
1,Bébé s’éveille,BÉBÉ,le,0
1,Bébé mange,BÉBÉ,ge,0
1,Bébé dort,BÉBÉ,rt,0
1,Toilette, Soin de bébé,BÉBÉ,bé,0
1,Bébé en Sécurité,BÉBÉ,té,0
1,Coffrets nouveau-né,BÉBÉ,né,0
1,Grossesse et Allaitement,BÉBÉ,nt,0
1,Jeunesse,MAGAZINE,se,0
1,Loisirs,MAGAZINE,rs,0
1,Art de Vivre,MAGAZINE,re,0
